FEEDBACK_APP;FEEDBACK_VALUE;FEEDBACK_DATE;USER_ID;DATE;RTT;DL;UL;DJ;UJ;DTH;UTH;SKYPE___VOICE_CALL___MOS;YOUTUBE___VIDEO_PLAYBACK___P_720___MOS;NETWORK_CLASS;NETWORK_TYPE;MOBILE_OPERATOR;SIGNAL_STRENGTH_RSSI__dBm(0);SIGNAL_STRENGTH_LEVEL(0);IS_IN_AIRPLANE_MODE;IS_MOBILE_DATA_ENABLED;IS_ROAMING_DATA_ENABLED;IS_IN_ROAMING;IS_WIFI_CONNECTED;SIGNAL_STRENGTH_RSSI__dBm(1);SIGNAL_STRENGTH_LEVEL(1)
YOUTUBE___GENERAL___MOS;3;2019-07-13 04:10:00.050000;620624f1-35df-4afd-b833-187ed7cba840;2019-07-13 04:10:26.258000;387272411,3;0;0;1688884,48;5445869,78;2060552,369;40583,92203;4;5;3G;HSPA;63601;-79;5;False;True;True;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;3;2019-07-13 04:10:10.466000;620624f1-35df-4afd-b833-187ed7cba840;2019-07-13 04:10:26.258000;387272411,3;0;0;1688884,48;5445869,78;2060552,369;40583,92203;4;5;3G;HSPA;63601;-79;5;False;True;True;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-13 04:10:19.944000;620624f1-35df-4afd-b833-187ed7cba840;2019-07-13 04:10:26.258000;387272411,3;0;0;1688884,48;5445869,78;2060552,369;40583,92203;4;5;3G;HSPA;63601;-79;5;False;True;True;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-13 04:10:33.478000;620624f1-35df-4afd-b833-187ed7cba840;2019-07-13 04:10:26.258000;387272411,3;0;0;1688884,48;5445869,78;2060552,369;40583,92203;4;5;3G;HSPA;63601;-79;5;False;True;True;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-13 04:10:39.794000;620624f1-35df-4afd-b833-187ed7cba840;2019-07-13 04:10:26.258000;387272411,3;0;0;1688884,48;5445869,78;2060552,369;40583,92203;4;5;3G;HSPA;63601;-79;5;False;True;True;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-13 04:10:46.296000;620624f1-35df-4afd-b833-187ed7cba840;2019-07-13 04:10:26.258000;387272411,3;0;0;1688884,48;5445869,78;2060552,369;40583,92203;4;5;3G;HSPA;63601;-79;5;False;True;True;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-13 04:13:55.575000;620624f1-35df-4afd-b833-187ed7cba840;2019-07-13 04:13:49.470000;869659386,1;0;0;3920312,28;13715749,96;1463208,824;82827,62586;5;4;3G;HSPAP;63601;-75;5;False;True;True;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;3;2019-07-13 04:14:04.142000;620624f1-35df-4afd-b833-187ed7cba840;2019-07-13 04:13:49.470000;869659386,1;0;0;3920312,28;13715749,96;1463208,824;82827,62586;5;4;3G;HSPAP;63601;-75;5;False;True;True;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;4;2019-07-13 04:14:18.176000;620624f1-35df-4afd-b833-187ed7cba840;2019-07-13 04:13:49.470000;869659386,1;0;0;3920312,28;13715749,96;1463208,824;82827,62586;5;4;3G;HSPAP;63601;-75;5;False;True;True;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-13 04:15:22.821000;620624f1-35df-4afd-b833-187ed7cba840;2019-07-13 04:15:46.310000;232638745,8;0;0;900325,78;2231102,4;2345374,42;86204,3866;5;5;3G;HSPAP;63601;-77;5;False;True;True;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;5;2019-07-13 04:15:39.467000;620624f1-35df-4afd-b833-187ed7cba840;2019-07-13 04:15:46.310000;232638745,8;0;0;900325,78;2231102,4;2345374,42;86204,3866;5;5;3G;HSPAP;63601;-77;5;False;True;True;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;2;2019-07-13 10:18:38.034000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-13 10:18:37.363000;3303547790;0;0;11294340,32;27797712,96;110344,9385;32443,88377;4;2;3G;HSPAP;63601;-71;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;2;2019-07-13 10:18:43.647000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-13 10:18:37.363000;3303547790;0;0;11294340,32;27797712,96;110344,9385;32443,88377;4;2;3G;HSPAP;63601;-71;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;2;2019-07-13 10:18:54.062000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-13 10:18:37.363000;3303547790;0;0;11294340,32;27797712,96;110344,9385;32443,88377;4;2;3G;HSPAP;63601;-71;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;2;2019-07-13 10:19:07.540000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-13 10:18:37.363000;3303547790;0;0;11294340,32;27797712,96;110344,9385;32443,88377;4;2;3G;HSPAP;63601;-71;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;1;2019-07-13 10:19:12.390000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-13 10:18:37.363000;3303547790;0;0;11294340,32;27797712,96;110344,9385;32443,88377;4;2;3G;HSPAP;63601;-71;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;1;2019-07-13 10:19:17.278000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-13 10:18:37.363000;3303547790;0;0;11294340,32;27797712,96;110344,9385;32443,88377;4;2;3G;HSPAP;63601;-71;5;False;False;False;False;False;-Inf;-2147483648
YOUTUBE___GENERAL___MOS;2;2019-07-13 10:19:21.992000;60902e68-2e7f-421b-b16f-7f11b9069e48;2019-07-13 10:18:37.363000;3303547790;0;0;11294340,32;27797712,96;110344,9385;32443,88377;4;2;3G;HSPAP;63601;-71;5;False;False;False;False;False;-Inf;-2147483648
